seaTurtleMorphometricId,seaTurtleId,dateMeasured,sclSNotchNotchValue,sclNotchNotchUnits,sclNotchTipValue,sclNotchTipUnits,sclTipTipValue,sclTipTipUnits,scwValue,scwUnits,cclNotchNotchValue,cclNotchNotchUnits,cclNotchTipValue,cclNotchTipUnits,cclTipTipValue,cclTipTipUnits,ccwValue,ccwUnits,weightValue,weightUnits
d3296787-44bb-45bd-9e90-21577d520d85,6ab82cfe-eba0-456c-b700-246e452d5dc0,2007-12-15,23.3,cm,23.4,cm,0,,18.4,cm,23.8,cm,24,cm,0,,19.8,cm,1.5,kg
cf2545cf-37cc-4d17-923a-16c68937200f,6ab82cfe-eba0-456c-b700-246e452d5dc0,2007-12-24,0,,0,,0,,0,,0,,0,,0,,0,,1.6,kg
426a9392-aab9-40fb-9505-e3f2aa86dd16,6ab82cfe-eba0-456c-b700-246e452d5dc0,2008-01-14,0,,0,,0,,0,,0,,0,,0,,0,,1.8,kg
3fc4bc66-6aa6-4b97-b4a7-a362e3b886f5,6ab82cfe-eba0-456c-b700-246e452d5dc0,2008-01-26,0,,0,,0,,0,,0,,0,,0,,0,,1.9,kg
c43e1592-881b-4c79-babd-2b2647408e9e,6ab82cfe-eba0-456c-b700-246e452d5dc0,2008-01-31,0,,0,,0,,0,,0,,0,,0,,0,,2.05,kg
91fc9115-5dd2-483b-a0ae-8d69f3771b71,6168e083-209b-45f9-a305-6f2b530d96f1,2007-12-20,41.8,cm,42.1,cm,0,,34.6,cm,44.5,cm,45.2,cm,0,,39,cm,10,kg
423d31e0-e8ce-4e15-bb15-ba93b8394ed7,6168e083-209b-45f9-a305-6f2b530d96f1,2007-12-28,0,,0,,0,,0,,0,,0,,0,,0,,10.1,kg
5a60fe6a-421e-4f5c-b5b9-d461ed9ded9d,6168e083-209b-45f9-a305-6f2b530d96f1,2008-01-04,0,,0,,0,,0,,0,,0,,0,,0,,10.6,kg
803f2617-9545-4fb5-abd9-5f7aa882cf2a,6168e083-209b-45f9-a305-6f2b530d96f1,2008-01-07,0,,0,,0,,0,,0,,0,,0,,0,,10.7,kg
2e3eab9e-2816-49ed-8594-c619479f7f48,6168e083-209b-45f9-a305-6f2b530d96f1,2008-01-25,0,,0,,0,,0,,0,,0,,0,,0,,10.3,kg
b2bea404-7cbb-4669-807b-62b6e30f8c86,6168e083-209b-45f9-a305-6f2b530d96f1,2008-01-31,0,,0,,0,,0,,0,,0,,0,,0,,10.7,kg
4c3a30eb-8480-4b11-9489-444a34658fc1,91e2eab3-bf16-4627-9e2a-d26b22a5e026,2007-12-20,31.5,cm,31.8,cm,0,,26.4,cm,33.5,cm,33.8,cm,0,,22.5,cm,4.25,kg
2b66b725-b984-4184-9f39-9a15a8a029f1,91e2eab3-bf16-4627-9e2a-d26b22a5e026,2007-12-28,0,,0,,0,,0,,0,,0,,0,,0,,4.1,kg
261c2093-b6cc-4e8d-ada9-8595c51cdb9c,91e2eab3-bf16-4627-9e2a-d26b22a5e026,2008-01-07,0,,0,,0,,0,,0,,0,,0,,0,,4.35,kg
2c84f552-5b87-4d60-a69d-b699e7f4af3f,91e2eab3-bf16-4627-9e2a-d26b22a5e026,2008-01-13,0,,0,,0,,0,,0,,0,,0,,0,,4.7,kg
95e694b9-7d76-47f1-9c9d-708278b2e476,91e2eab3-bf16-4627-9e2a-d26b22a5e026,2008-01-14,0,,0,,0,,0,,0,,0,,0,,0,,4.8,kg
a4416dc4-0d0c-465d-b542-b89c13198be6,91e2eab3-bf16-4627-9e2a-d26b22a5e026,2008-01-27,0,,0,,0,,0,,0,,0,,0,,0,,4.75,kg
2188736d-8ec8-4290-9038-966b9b0f2cb5,91e2eab3-bf16-4627-9e2a-d26b22a5e026,2008-01-31,0,,0,,0,,0,,0,,0,,0,,0,,5,kg
52b0bdb4-7c14-491d-9f0d-af29e7dbddb6,aef9853e-05f0-4155-8b15-0a778960850d,2007-12-28,24.8,cm,25.1,cm,0,,21.2,cm,25.7,cm,26.1,cm,0,,23.5,cm,1.85,kg
017c7cd8-4e12-4445-95ee-764079c3e991,aef9853e-05f0-4155-8b15-0a778960850d,2008-01-04,0,,0,,0,,0,,0,,0,,0,,0,,1.85,kg
b42ef1e5-8e23-4818-be7c-9817eab57bdf,aef9853e-05f0-4155-8b15-0a778960850d,2008-01-07,0,,0,,0,,0,,0,,0,,0,,0,,1.9,kg
a2ddf71b-2e76-4f3b-9b5e-b5ea48f0868a,aef9853e-05f0-4155-8b15-0a778960850d,2008-01-13,0,,0,,0,,0,,0,,0,,0,,0,,1.9,kg
c77b09f8-51ab-45ee-9125-f3ab55a57ad4,aef9853e-05f0-4155-8b15-0a778960850d,2008-01-26,0,,0,,0,,0,,0,,0,,0,,0,,2.1,kg
a4b25dc2-b7a6-41ee-8736-4eab9b8bc02e,aef9853e-05f0-4155-8b15-0a778960850d,2008-01-31,0,,0,,0,,0,,0,,0,,0,,0,,2.2,kg
6ba17c82-c44a-447f-97fe-1aa8f4dfc977,65e9bfe1-1b95-4fe5-8d08-da38b7189f7e,2008-01-06,28.9,cm,29.3,cm,0,,24.2,cm,31.4,cm,31.8,cm,0,,27.6,cm,2.75,kg
458642cd-1c36-483c-a242-5f43465b97d7,65e9bfe1-1b95-4fe5-8d08-da38b7189f7e,2008-01-13,0,,0,,0,,0,,0,,0,,0,,0,,2.75,kg
e68a872c-f045-443e-8829-064031e19254,65e9bfe1-1b95-4fe5-8d08-da38b7189f7e,2008-01-26,0,,0,,0,,0,,0,,0,,0,,0,,3,kg
2e28ae41-266b-46cd-b6b3-96b25b53dfd5,65e9bfe1-1b95-4fe5-8d08-da38b7189f7e,2008-01-31,0,,0,,0,,0,,0,,0,,0,,0,,3.2,kg
de73632a-8677-4f1a-934f-ce5cf1c3f392,1c02648b-6728-4770-8023-fc2664baaf1e,2008-01-26,0,,0,,0,,0,,0,,0,,0,,0,,3.7,kg
d0370642-b36a-4475-b3b0-d387f9e2aa9c,1c02648b-6728-4770-8023-fc2664baaf1e,2008-01-31,0,,0,,0,,0,,0,,0,,0,,0,,3.7,kg
78864554-d638-4f1f-a4a5-56733d8b8819,bd77c7af-0484-4eb5-b578-a513215a3be1,2008-01-22,0,,0,,0,,0,,34,cm,34.5,cm,0,,30,cm,3.65,kg
649cd1d1-1e7c-4a2e-9b86-094d8e979f8f,97c653d6-251a-4869-a4df-369c0c9cb9af,2008-01-31,0,,0,,0,,0,,0,,0,,0,,0,,50.75,kg
